-------------------------------------------------------------------------------------------------------------------------------------------------
At. num | Ion Charge | El. Name      | Ground Shells (a)    | Ground Level        |      Ionization Energy (b) (eV)      | Uncertainty (c) (eV) |
--------|------------|---------------|----------------------|---------------------|--------------------------------------|----------------------|
      1 |          0 | Hydrogen      | 1s                   | 2S<1/2>             |      (13.598434599702)               |     0.000000000012   |
      2 |          0 | Helium        | 1s2                  | 1S0                 |       24.587389011                   |     0.000000025      |
      2 |         +1 | Helium        | 1s                   | 2S<1/2>             |      (54.4177655282)                 |     0.0000000010     |
      3 |          0 | Lithium       | 1s2.2s               | 2S<1/2>             |        5.391714996                   |     0.000000022      |
      3 |         +1 | Lithium       | 1s2                  | 1S0                 |      [75.6400970]                    |     0.0000012        |
      3 |         +2 | Lithium       | 1s                   | 2S<1/2>             |     (122.45435913)                   |     0.00000011       |
      4 |          0 | Beryllium     | 1s2.2s2              | 1S0                 |        9.322699                      |     0.000007         |
      4 |         +1 | Beryllium     | 1s2.2s               | 2S<1/2>             |       18.21115                       |     0.00004          |
      4 |         +2 | Beryllium     | 1s2                  | 1S0                 |     [153.896205]                     |     0.000004         |
      4 |         +3 | Beryllium     | 1s                   | 2S<1/2>             |     (217.71858459)                   |     0.00000010       |
      5 |          0 | Boron         | 1s2.2s2.2p           | 2P*<1/2>            |        8.298019                      |     0.000003         |
      5 |         +1 | Boron         | 1s2.2s2              | 1S0                 |       25.15483                       |     0.00005          |
      5 |         +2 | Boron         | 1s2.2s               | 2S<1/2>             |       37.93059                       |     0.00007          |
      5 |         +3 | Boron         | 1s2                  | 1S0                 |      259.3715                        |     0.0025           |
      5 |         +4 | Boron         | 1s                   | 2S<1/2>             |     (340.2260225)                    |     0.0000006        |
      6 |          0 | Carbon        | 1s2.2s2.2p2          | 3P0                 |       11.2602880                     |     0.0000011        |
      6 |         +1 | Carbon        | 1s2.2s2.2p           | 2P*<1/2>            |       24.383143                      |     0.000012         |
      6 |         +2 | Carbon        | 1s2.2s2              | 1S0                 |       47.88778                       |     0.00025          |
      6 |         +3 | Carbon        | 1s2.2s               | 2S<1/2>             |       64.49352                       |     0.00019          |
      6 |         +4 | Carbon        | 1s2                  | 1S0                 |     [392.090518]                     |     0.000025         |
      6 |         +5 | Carbon        | 1s                   | 2S<1/2>             |     (489.99320779)                   |     0.00000022       |
      7 |          0 | Nitrogen      | 1s2.2s2.2p3          | 4S*<3/2>            |       14.53413                       |     0.00004          |
      7 |         +1 | Nitrogen      | 1s2.2s2.2p2          | 3P0                 |      [29.60125]                      |     0.00009          |
      7 |         +2 | Nitrogen      | 1s2.2s2.2p           | 2P*<1/2>            |      [47.4453]                       |     0.0025           |
      7 |         +3 | Nitrogen      | 1s2.2s2              | 1S0                 |       77.4735                        |     0.0004           |
      7 |         +4 | Nitrogen      | 1s2.2s               | 2S<1/2>             |       97.8901                        |     0.0004           |
      7 |         +5 | Nitrogen      | 1s2                  | 1S0                 |     [552.06733]                      |     0.00004          |
      7 |         +6 | Nitrogen      | 1s                   | 2S<1/2>             |     (667.0461377)                    |     0.0000007        |
      8 |          0 | Oxygen        | 1s2.2s2.2p4          | 3P<2>               |       13.618055                      |     0.000007         |
      8 |         +1 | Oxygen        | 1s2.2s2.2p3          | 4S*<3/2>            |       35.12112                       |     0.00006          |
      8 |         +2 | Oxygen        | 1s2.2s2.2p2          | 3P0                 |      [54.93554]                      |     0.00012          |
      8 |         +3 | Oxygen        | 1s2.2s2.2p           | 2P*<1/2>            |       77.41350                       |     0.00025          |
      8 |         +4 | Oxygen        | 1s2.2s2              | 1S0                 |      113.8990                        |     0.0005           |
      8 |         +5 | Oxygen        | 1s2.2s               | 2S<1/2>             |     [138.1189]                       |     0.0021           |
      8 |         +6 | Oxygen        | 1s2                  | 1S0                 |     [739.32683]                      |     0.00006          |
      8 |         +7 | Oxygen        | 1s                   | 2S<1/2>             |     (871.4099138)                    |     0.0000012        |
      9 |          0 | Fluorine      | 1s2.2s2.2p5          | 2P*<3/2>            |       17.42282                       |     0.00005          |
      9 |         +1 | Fluorine      | 1s2.2s2.2p4          | 3P<2>               |       34.97081                       |     0.00012          |
      9 |         +2 | Fluorine      | 1s2.2s2.2p3          | 4S*<3/2>            |      [62.70798]                      |     0.00025          |
